name,latitude,longitude,split,Kelsey,Evan
Arches National Park,38.616108,-109.619704,Not Visited,False,False
Badlands National Park,43.749056,-101.942418,Not Visited,False,False
Big Bend National Park,29.32212,-103.207347,Not Visited,False,False
Biscayne National Park,25.463347,-80.334692,Not Visited,False,False
Black Canyon of the Gunnison National Park,38.554786,-107.686186,Not Visited,False,False
Bryce Canyon National Park,37.64021,-112.16912,Not Visited,False,False
Canyonlands National Park,38.353133,-109.862766,Not Visited,False,False
Carlsbad Caverns National Park,32.174959,-104.444114,Not Visited,False,False
Channel Islands National Park,34.021364,-119.578972,Not Visited,False,False
Crater Lake National Park,42.896419,-122.133915,Not Visited,False,False
Cuyahoga Valley National Park,41.262888,-81.558809,Not Visited,False,False
Death Valley National Park,36.46083,-116.86581,Not Visited,False,False
Denali National Park,63.730338,-148.914528,Not Visited,False,False
Dry Tortugas National Park,24.626733,-82.872705,Not Visited,False,False
Gates of the Arctic National Park,67.565946,-153.26412,Not Visited,False,False
Gateway Arch,38.624691,-90.1847763,Not Visited,False,False
Glacier Bay National Park,58.446745,-135.861568,Not Visited,False,False
Glacier National Park,48.52769,-113.995085,Not Visited,False,False
Grand Teton National Park,43.657269,-110.716846,Not Visited,False,False
Great Basin National Park,39.005579,-114.219543,Not Visited,False,False
Great Sand Dunes National Park,37.732609,-105.511923,Not Visited,False,False
Guadalupe Mountains National Park,31.933517,-104.853516,Not Visited,False,False
Indiana Dunes National Park,41.6532682,-87.0524335,Not Visited,False,False
Isle Royale National Park,47.91163,-89.157851,Not Visited,False,False
Katmai National Park,58.551688,-155.779095,Not Visited,False,False
Kenai Fjords National Park,60.105206,-149.434898,Not Visited,False,False
Kings Canyon National Park,36.79212,-118.668737,Not Visited,False,False
Kobuk Valley National Park,67.39137,-159.06301,Not Visited,False,False
Lake Clark National Park,60.200805,-154.321003,Not Visited,False,False
Lassen Volcanic National Park,40.4375,-121.534259,Not Visited,False,False
Mammoth Cave National Park,37.186579,-86.100197,Not Visited,False,False
Mesa Verde National Park,37.257975,-108.498058,Not Visited,False,False
Mount Rainier National Park,46.784134,-121.739695,Not Visited,False,False
National Park of American Samoa,-14.27933,-170.700897,Not Visited,False,False
Petrified Forest National Park,35.066259,-109.782477,Not Visited,False,False
Pinnacles National Park,36.493798,-121.147037,Not Visited,False,False
Redwood National Park,41.285708,-124.090061,Not Visited,False,False
Sequoia National Park,36.604401,-118.734226,Not Visited,False,False
Theodore Roosevelt National Park,46.916562,-103.525393,Not Visited,False,False
Virgin Islands National Park,18.331877,-64.793758,Not Visited,False,False
Voyageurs National Park,48.43481,-92.850373,Not Visited,False,False
White Sands National Park,32.7872403,-106.3256816,Not Visited,False,False
Wind Cave National Park,43.556056,-103.478529,Not Visited,False,False
Wrangell-St Elias National Park,61.20794,-142.24266,Not Visited,False,False
Yellowstone National Park,44.392963,-110.55733,Not Visited,False,False
Yosemite National Park,37.746557,-119.590774,Not Visited,False,False
Zion National Park,37.209533,-112.979493,Not Visited,False,False
Saguaro National Park,32.2535746,-111.1970167,Visited - Evan,False,True
Acadia National Park,44.408347,-68.245804,Visited - Evan and Kelsey,True,True
Capitol Reef National Park,38.29125,-111.26141,Visited - Evan and Kelsey,True,True
Congaree National Park,33.830355,-80.824056,Visited - Evan and Kelsey,True,True
Everglades National Park,25.13938,-80.928211,Visited - Evan and Kelsey,True,True
Great Smoky Mountains National Park,35.515391,-83.305378,Visited - Evan and Kelsey,True,True
Haleakala National Park,20.759383,-156.2466425,Visited - Evan and Kelsey,True,True
Hawaii Volcanoes National Park,19.4294032,-155.2573245,Visited - Evan and Kelsey,True,True
Hot Springs National Park,34.513735,-93.053427,Visited - Evan and Kelsey,True,True
Joshua Tree National Park,33.747345,-115.819808,Visited - Evan and Kelsey,True,True
New River Gorge National Park & Preserve,37.8752221,-81.0356791,Visited - Evan and Kelsey,True,True
North Cascades National Park,48.666212,-121.264257,Visited - Evan and Kelsey,True,True
Olympic National Park,48.100675,-123.431139,Visited - Evan and Kelsey,True,True
Shenandoah National Park,38.871523,-78.204632,Visited - Evan and Kelsey,True,True
Grand Canyon National Park,36.056964,-112.136378,Visited - Kelsey,True,False
Rocky Mountain National Park,40.366395,-105.560801,Visited - Kelsey,True,False
